date,Voltage,ChargeCapacity
6/23/2018 10:33,4.366069794,0.22649695
6/23/2018 10:35,4.400038719,0.333622754
6/23/2018 10:37,4.399991989,0.425023258
6/23/2018 10:39,4.400032043,0.500614643
6/23/2018 10:41,4.400016785,0.564362884
6/23/2018 10:43,4.400033951,0.619343996
6/23/2018 10:45,4.400020599,0.667898238
6/23/2018 10:47,4.399999619,0.711762071
6/23/2018 10:49,4.399977684,0.752023935
6/23/2018 10:51,4.400017738,0.789350212
6/23/2018 10:53,4.399991989,0.824133217
6/23/2018 10:55,4.400028229,0.856655657
6/23/2018 10:57,4.39996624,0.887087345
6/23/2018 10:59,4.399999619,0.91554153
6/23/2018 11:01,4.400035858,0.942241967
6/23/2018 11:03,4.399988174,0.967459261
6/23/2018 11:05,4.399975777,0.991302907
6/23/2018 11:07,4.399983406,1.013824701
6/23/2018 11:09,4.39999485,1.017849684
6/23/2018 11:11,4.268724442,1.017852306
6/23/2018 11:13,4.255738258,1.017852306
6/23/2018 11:15,4.252378464,1.017852306
6/23/2018 11:17,3.324838638,1.017852306
6/23/2018 11:19,3.247247696,1.017852306
6/23/2018 11:21,3.160561562,1.017852306
6/23/2018 11:23,3.072853088,1.017852306
6/23/2018 11:25,2.99998188,1.017852306
6/23/2018 11:27,3.858570099,1.017852306
6/23/2018 11:29,3.877667427,1.017852306
6/23/2018 11:31,3.881884575,1.017852306
6/23/2018 11:33,4.200037956,0.010035684
6/23/2018 11:35,4.326411247,0.11845386
6/23/2018 11:37,4.366514206,0.227107093
6/23/2018 11:39,4.40002346,0.334258705
6/23/2018 11:41,4.400012016,0.426100612
6/23/2018 11:43,4.40003109,0.502347648
6/23/2018 11:45,4.399991035,0.566931129
6/23/2018 11:47,4.400030136,0.622915506
6/23/2018 11:49,4.400045395,0.672396839
6/23/2018 11:51,4.400008202,0.716739595
6/23/2018 11:53,4.400006294,0.757057309
6/23/2018 11:55,4.400025368,0.79421705
6/23/2018 11:57,4.399974823,0.828821719
6/23/2018 11:59,4.399998665,0.861205935
